"fips","LON","LAT"
"01061",-85.8357488109319,31.0940440516173
"08125",-102.425873975407,40.0030682047878
"17177",-89.6623855048929,42.3513830831607
"28153",-88.6957687494783,31.6413247598929
"34041",-74.9957035336639,40.8594026391455
"46051",-96.7698051122714,45.1725536642807
"51013",-77.1013875318834,38.8767676762953
"21007",-88.9942480405905,37.0584302519497
"37091",-76.9810249118578,36.3608663280826
"13057",-84.474373947902,34.2439131431477
"13015",-84.8388634580091,34.2376776332146
"17155",-89.2868316077297,41.201382118159
"19001",-94.4710578720072,41.3307735598499
"39121",-81.459434675616,39.7681203067399
"39075",-81.9263432338892,40.5618484385486
"27059",-93.2948096766691,45.5618757857861
"18013",-86.2286817323021,39.1960101303283
"29075",-94.4094468006277,40.2109902395694
"31079",-98.5021827770315,40.8726244056862
"46005",-98.2786337104555,44.4148857880374
"48093",-98.5585756621517,31.9485983882695
"51640",-80.9170417764507,36.6659913737519
"72073",-66.5837479280563,18.2152050999572
"54063",-80.5459816455422,37.5627678183904
"48233",-101.354664721811,35.8401697766644
"27165",-94.6141403938084,43.9784038041064
"46107",-99.9549646267572,45.0661425560175
"28009",-89.1894701062467,34.8166879538602
"21047",-87.4906217736478,36.8925093217281
"31075",-101.740703966397,41.9154719545653
"09013",-72.3356181361128,41.8579395327132
"13295",-85.3016093612279,34.7337026280331
"20075",-101.792106014159,37.9997334792234
"26089",-85.8016126493404,44.9442329120504
"28141",-88.2391547896558,34.7400018997788
"40067",-97.8320083336457,34.1113649622253
"48487",-99.2416737746342,34.0793896591766
"21003",-86.1928852845321,36.7492122954285
"05043",-91.7185320321046,33.5897077996867
"05039",-92.6540326586205,33.9708693256826
"18049",-86.2625558783199,41.0470655731135
"20113",-97.6477030416173,38.3918757718635
"21197",-83.8254910959248,37.8322102954371
"21217",-85.3329342866188,37.3677771201235
"26073",-84.8466321653272,43.6406673933428
"28155",-89.2839994270605,33.6130526186904
"31143",-97.5664106032618,41.1881743502493
"21073",-84.8796294868139,38.2378958732706
"31035",-98.0512639013704,40.5244629709317
"42027",-77.8219918006951,40.9219548632974
"47075",-89.2852960642082,35.5834070604448
"47139",-84.520751514484,35.1224578705767
"51009",-79.1437064854597,37.6049377737076
"72021",-66.1660875843127,18.3471495816896
"72039",-66.518989240197,18.2888062764252
"72067",-67.1130206381388,18.1345181532162
"55069",-89.7341131770041,45.3375105717019
"48381",-101.897147493978,34.9659041434221
"19159",-94.2436845363052,40.7352118327995
"27023",-95.5637251639091,45.0239118672453
"20069",-100.436895615393,37.7382558129672
"40021",-94.9999165214748,35.9068337346791
"18005",-85.8956117165535,39.2074329031756
"09015",-71.9879903870516,41.8301036856603
"12061",-80.6055595716859,27.6931709098681
"19005",-91.3785472672485,43.2837702977704
"22065",-91.239732291383,32.3692622747168
"26055",-85.5559551829134,44.6955918669663
"29153",-92.4445757627212,36.6493718803844
"42071",-76.24854112828,40.0383233180076
"48195",-101.354579444016,36.2775238305235
"51510",-77.0818285202657,38.8140095444659
"56033",-106.882114949004,44.7912479468769
"08111",-107.676366068275,37.7625625377714
"13135",-84.021313444923,33.9604805831701
"18067",-86.1135270713184,40.485359644426
"19175",-94.2423469582987,41.0278115861231
"39063",-83.6684304729972,41.0025456183047
"26035",-84.848213991855,43.987999741374
"29229",-92.469135893309,37.2703011188559
"21203",-84.3117616399496,37.3663969907338
"29101",-93.8069308406342,38.747305233101
"48173",-101.520769812004,31.8694774101937
"48129",-100.814026053201,34.9652309424337
"48223",-95.5635375867488,33.1488139671002
"54041",-80.5000923593724,38.9923301877229
"72113",-66.6128267331471,18.0626670647666
"51630",-77.4854274238296,38.2972968715126
"53021",-118.902425412874,46.5341338509996
"08009",-102.560291994709,37.319479224712
"47113",-88.8393067325571,35.6096799498156
"27149",-96.0016332326173,45.5861686573188
"38015",-100.464512973483,46.9782989716249
"13229",-82.2159840582397,31.3592530812677
"18183",-85.5094523523594,41.1375198930635
"18115",-84.9650776325358,38.9553375798636
"12037",-84.8283845420862,29.8377252317905
"26071",-88.5311634515153,46.2098286922056
"29011",-94.3475539377474,37.5022904487894
"31145",-100.476996242065,40.1756714491906
"40041",-94.8032329150081,36.4081434176504
"47131",-89.1492942227061,36.3573587128478
"55071",-87.8094984678705,44.119348860331
"01027",-85.8584722840781,33.2697769691573
"12115",-82.3318062206599,27.185440987671
"17159",-88.0841820045805,38.7125348924858
"19181",-93.5600772143855,41.3355761155631
"26039",-84.6100593975941,44.6826312115851
"28115",-89.0363796178274,34.2260674211058
"19197",-93.7351522016771,42.7331315893418
"31101",-101.662220599581,41.1995198715683
"36099",-76.8248272917227,42.7805568191602
"28003",-88.5799584854686,34.8809139930932
"48467",-95.8377752914601,32.5640191616639
"51093",-76.7087070746447,36.9056241848074
"56019",-106.584291183054,44.0399948026689
"54005",-81.6987770157855,38.0196592863361
"72101",-66.421755623064,18.3188188037385
"19131",-92.788868286803,43.3564584661705
